x_2018,y_2018,x_2019,y_2019,Fecha_2018,Fecha_2019,Real_2018,Prevista_2018,Programada_2018,Real_2019,Prevista_2019,Programada_2019,Mes,Dia,Temp_2018,Prec_2018,Prec_2019,Temp_2019
33,4,27,5,2018-03-25,2019-03-25,26648.0,26599.144927536232,26633.869565217392,28311.826388888887,28272.777777777777,28235.75,3,25,8.735897435897435,2.287179487179487,0.24615384615384614,12.94102564102564
27,5,28,5,2018-03-26,2019-03-26,30560.0,30540.21333333333,30577.24,28989.013888888887,29009.20833333333,28939.91666666667,3,26,9.64871794871795,0.7282051282051281,0.0641025641025641,12.810256410256411
28,5,29,5,2018-03-27,2019-03-27,30364.0,30368.85416666667,30297.04166666667,29037.722222222223,29105.60416666667,29042.83333333333,3,27,12.776923076923078,0.08205128205128205,0.0,11.94615384615385
29,5,30,5,2018-03-28,2019-03-28,29190.0,29185.79166666667,29107.45833333333,29031.69444444444,29040.8125,28961.29166666667,3,28,13.253846153846156,1.8358974358974358,0.005263157894736842,11.79230769230769
30,5,31,5,2018-03-29,2019-03-29,25915.0,25920.91666666667,25753.70833333333,28945.784722222223,28946.69444444444,28984.95833333333,3,29,11.341025641025643,2.823076923076923,0.4263157894736842,12.187179487179487
31,5,32,5,2018-03-30,2019-03-30,24306.0,24295.02083333333,24188.20833333333,26037.56944444444,26044.652777777777,25950.5,3,30,9.076923076923078,5.343589743589743,1.6837837837837837,12.958974358974363
32,5,33,5,2018-03-31,2019-03-31,25137.0,25199.4375,25096.5,24541.963768115944,24570.65217391304,24542.130434782608,3,31,9.294736842105262,0.6210526315789474,3.1405405405405404,12.457894736842102
42,1,36,1,2018-04-01,2019-04-01,23739.0,23757.38888888889,23702.58333333333,28713.10666666667,28743.9,28638.04,4,1,11.91842105263158,1.2657894736842106,1.4921052631578948,13.028205128205128
36,2,37,1,2018-04-02,2019-04-02,26175.0,26206.722222222223,26069.20833333333,29389.652777777777,29405.64583333333,29444.70833333333,4,2,13.839473684210523,2.439473684210526,1.725641025641026,12.648717948717948
37,2,38,1,2018-04-03,2019-04-03,29240.0,29257.43055555556,29234.375,29475.534722222223,29531.64583333333,29423.25,4,3,13.118421052631577,3.378947368421052,2.3487179487179484,10.497435897435897
38,2,39,1,2018-04-04,2019-04-04,29818.0,29829.138888888887,29688.58333333333,29615.72916666667,29787.27083333333,29647.5,4,4,12.35,2.2394736842105267,4.01025641025641,8.910256410256412
39,2,40,1,2018-04-05,2019-04-05,29198.0,29209.263888888887,29184.95833333333,30095.388888888887,29807.923611111113,30113.83333333333,4,5,12.702631578947365,0.4473684210526316,7.664102564102565,8.702564102564104
40,2,41,1,2018-04-06,2019-04-06,29397.0,29487.11805555556,29361.33333333333,26936.85416666667,26923.9375,26816.79166666667,4,6,13.902631578947368,4.978947368421053,4.9526315789473685,8.971052631578948
41,2,42,1,2018-04-07,2019-04-07,26769.0,26770.69444444444,26696.83333333333,25143.14583333333,25159.42361111111,25039.16666666667,4,7,10.997368421052629,6.368421052631578,5.571052631578947,9.69736842105263
42,2,36,2,2018-04-08,2019-04-08,24673.0,24742.125,24560.79166666667,29569.11805555556,29558.08333333333,29551.08333333333,4,8,10.907894736842106,4.894736842105263,3.9820512820512826,12.02051282051282
36,3,37,2,2018-04-09,2019-04-09,29363.0,29359.4375,29270.75,30138.284722222223,30144.88194444444,30059.08333333333,4,9,8.965789473684211,6.344736842105262,3.9256410256410255,10.928205128205134
37,3,38,2,2018-04-10,2019-04-10,31110.0,31092.902777777777,31082.45833333333,30046.722222222223,30103.125,29930.375,4,10,8.178947368421051,15.61578947368421,1.8153846153846156,10.897435897435898
38,3,39,2,2018-04-11,2019-04-11,31322.0,31336.722222222223,31301.125,29867.83333333333,29902.652777777777,29718.16666666667,4,11,8.413513513513513,6.091891891891891,0.29743589743589743,10.838461538461544
39,3,40,2,2018-04-12,2019-04-12,30990.0,31017.70833333333,31054.875,29172.74305555556,29234.784722222223,29269.20833333333,4,12,9.978378378378377,5.635135135135134,0.0,11.626315789473686
40,3,41,2,2018-04-13,2019-04-13,30716.0,30767.263888888887,30661.29166666667,25939.097222222223,25959.6875,25923.625,4,13,10.332432432432432,3.75945945945946,0.01794871794871795,13.389473684210529
41,3,42,2,2018-04-14,2019-04-14,26805.0,26868.784722222223,26728.375,23887.77083333333,23924.52083333333,23829.29166666667,4,14,11.902702702702705,0.5783783783783785,0.37435897435897436,16.02307692307692
42,3,36,3,2018-04-15,2019-04-15,24641.0,24646.81944444444,24642.95833333333,27898.48611111111,27843.23611111111,27860.75,4,15,12.794594594594596,5.452777777777778,2.805128205128205,16.025641025641022
36,4,37,3,2018-04-16,2019-04-16,29056.0,29040.111111111113,29054.375,28140.909722222223,28179.94444444444,28123.29166666667,4,16,12.211111111111116,0.025,0.0,14.417948717948716
37,4,38,3,2018-04-17,2019-04-17,29119.0,29137.784722222223,29184.375,27899.36805555556,27910.465277777777,27834.75,4,17,14.674999999999999,0.0,5.549999999999999,15.671794871794868
38,4,39,3,2018-04-18,2019-04-18,28779.0,28815.93055555556,28760.0,24877.11805555556,24857.58333333333,24778.29166666667,4,18,16.737837837837837,0.0,7.528205128205127,12.869230769230763
39,4,40,3,2018-04-19,2019-04-19,28375.0,28394.027777777777,28362.08333333333,22901.38194444444,22934.58333333333,22796.66666666667,4,19,16.89473684210526,0.08947368421052633,6.299999999999999,13.069230769230769
40,4,41,3,2018-04-20,2019-04-20,28128.0,28145.93055555556,28066.04166666667,23415.402777777777,23466.33333333333,23393.70833333333,4,20,16.352631578947367,0.3999999999999999,1.217948717948718,14.194871794871796
41,4,42,3,2018-04-21,2019-04-21,25284.0,25295.88194444444,25241.125,22590.39583333333,22593.590277777777,22605.70833333333,4,21,16.036842105263162,1.486842105263158,1.4435897435897436,12.723076923076922
42,4,36,4,2018-04-22,2019-04-22,23245.0,23291.86111111111,23295.04166666667,24497.00694444444,24548.94444444444,24507.41666666667,4,22,16.89736842105263,1.9973684210526317,2.2051282051282053,13.820512820512821
36,5,37,4,2018-04-23,2019-04-23,27157.0,27206.94444444444,27135.79166666667,27064.95138888889,27067.94444444444,27113.08333333333,4,23,17.418421052631583,0.2026315789473684,5.176315789473684,11.171052631578945
37,5,38,4,2018-04-24,2019-04-24,28290.0,28294.74305555556,28258.25,28939.347222222223,28941.652777777777,28861.83333333333,4,24,18.59210526315789,0.7210526315789474,7.82051282051282,11.023076923076925
38,5,39,4,2018-04-25,2019-04-25,28513.0,28522.701388888887,28555.95833333333,28948.909722222223,28944.22916666667,28871.125,4,25,16.986842105263158,1.4973684210526315,3.6846153846153835,11.673684210526316
39,5,40,4,2018-04-26,2019-04-26,28294.0,28396.19444444444,28331.20833333333,28270.58333333333,28297.06944444444,28292.0,4,26,16.360526315789475,0.6605263157894737,0.09230769230769231,12.228205128205127
